,NAME_CAT,SMILE_CAT,NAME_ANI,SMILE_ANI,T,P,densiy (kg/m3),reference,,,,,,,,,,,,,,,,
17,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,308.17,101.325,1342.4,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
18,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,313.09,101.325,1338.43,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
19,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,318.12,101.325,1334.34,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
20,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,323.15,101.325,1330.39,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
21,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,328.24,101.325,1326.32,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
22,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,333.37,101.325,1322.54,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
23,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,338.85,101.325,1318.34,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
24,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,343.33,101.325,1314.8,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
25,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,347.97,101.325,1310.87,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
26,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,352.71,101.325,1307.2,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
